best_match_score,__id_left,__id_right,Event_left,Name_left,Age,Weight Class_left,Last Weight-In,Height_left,Reach_left,Born,Current Streak,UFC Competition,First Fight,Last Fight,Fight out of,Wins,Loss,Draws,No Contest,Concat_left,Event_right,Event Date,Event Location,Weight Class_right,Name_right,Height_right,Weight,Reach_right,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg,TD Acc,TD Def,Sub. Avg.,Win s,Los s,Concat_right
0.28884875089713186,0_left,0_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Renato Carneiro,30,Featherweight,145.5 lbs,"5'11"" (181cm)","72.0"" (183cm)",Brazil,1 Loss,8,2010-03-20,"February 02, 2019","Brasilia, Federal District, Brazil",13,2,1,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Renato Carneiro,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Renato Moicano,"5' 11""",145 lbs.,"72""",Orthodox,"May 21, 1989",5.6,46%,3.53,67%,1.18,54%,76%,0.4,13,2,UFC Fight Night: Moicano vs. The Korean Zombie Renato Moicano
0.8165950140770168,1_left,1_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,"정찬성, Jung Chan Sung",32,Featherweight,146.0 lbs,"5'7"" (171cm)","72.0"" (183cm)","Seoul, South Korea",1 Loss,7,2007-06-24,"November 10, 2018","Pohang, South Korea",14,5,0,0,"UFC on ESPN+ 12: Moicano vs. Korean Zombie 정찬성, Jung Chan Sung",UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",4.12,39%,3.81,60%,0.81,41%,75%,0.7,14,5,UFC Fight Night: Moicano vs. The Korean Zombie Chan Sung Jung
0.7040383282961924,2_left,2_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,John Lineker,29,Bantamweight,135.0 lbs,"5'3"" (160cm)","67.0"" (170cm)","Paranagua, Parana, Brazil",1 Loss,17,2008-09-05,"April 27, 2019","Paranagua, Parana, Brazil",31,9,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie John Lineker,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,John Lineker,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",5.36,40%,4.27,56%,0.56,58%,67%,0.6,31,9,UFC Fight Night: Moicano vs. The Korean Zombie John Lineker
0.20955872920758625,3_left,3_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Robert Font,31,Bantamweight,136.0 lbs,"5'8"" (173cm)","71.5"" (182cm)","Tampa, Florida",1 Win,10,2011-01-28,"December 15, 2018","Boston, Massachusetts",19,5,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Robert Font,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",4.94,40%,3.88,63%,1.29,33%,30%,0.9,16,4,UFC Fight Night: Moicano vs. The Korean Zombie Rob Font
0.6058969943384035,4_left,4_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Bryan Barberena,30,Welterweight,170.5 lbs,"6'0"" (183cm)","72.0"" (183cm)","Montclair, California",1 Loss,10,2009-08-06,"February 17, 2019","Glendale, Arizona",15,6,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Bryan Barberena,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Welterweight,Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",5.9,48%,4.76,44%,0.29,33%,47%,0.3,14,6,UFC Fight Night: Moicano vs. The Korean Zombie Bryan Barberena
0.17945572964118814,5_left,5_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Randall Brown,28,Welterweight,171.0 lbs,"6'3"" (191cm)","78.0"" (198cm)","Spanish Town, Jamaica",1 Loss,8,2011-06-02,"July 14, 2018","Queens, New York",16,5,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Randall Brown,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Welterweight,Randy Brown,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",2.89,44%,2.37,55%,0.99,41%,77%,0.6,10,3,UFC Fight Night: Moicano vs. The Korean Zombie Randy Brown
0.5899929525144147,6_left,6_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Andrea Lee,30,Flyweight,125.5 lbs,"5'6"" (168cm)","69.5"" (177cm)","Atlanta, Texas, United States",6 Wins,3,2011-12-10,"February 17, 2019","Shreveport, Louisiana",17,5,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Andrea Lee,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",5.57,55%,3.0,69%,1.5,42%,72%,1.0,10,2,UFC Fight Night: Moicano vs. The Korean Zombie Andrea Lee
0.9652123547090011,7_left,7_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Montana De La Rosa,24,Flyweight,125.0 lbs,"5'7"" (170cm)","68.0"" (173cm)",Texas,3 Wins,4,2014-02-21,"February 09, 2019","Arlington, Texas",10,4,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Montana De La Rosa,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Montana De La Rosa,"5' 7""",125 lbs.,"68""",,"Feb 14, 1995",3.46,41%,2.29,54%,1.25,22%,0%,3.1,10,4,UFC Fight Night: Moicano vs. The Korean Zombie Montana De La Rosa
0.8384321106612563,8_left,9_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Alessio Di Chirico,29,Middleweight,186.0 lbs,"6'0"" (182cm)","74.0"" (188cm)","Rome, Italy",2 Wins,6,2011-12-09,"July 06, 2018","Rome, Italy",15,2,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Alessio Di Chirico,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.36,41%,2.94,63%,2.48,56%,77%,0.0,12,2,UFC Fight Night: Moicano vs. The Korean Zombie Alessio Di Chirico
0.6000272857032142,9_left,8_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Kevin Holland,26,Middleweight,185.0 lbs,"6'3"" (191cm)","81.0"" (206cm)",United States,2 Wins,4,2012-08-04,"March 30, 2019","Fort Worth, Texas",20,4,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Kevin Holland,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Kevin Holland,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992",4.47,55%,2.57,59%,1.52,50%,50%,1.3,15,4,UFC Fight Night: Moicano vs. The Korean Zombie Kevin Holland
0.6159313275272029,10_left,12_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Ashley Yoder,31,Strawweight,115.5 lbs,"5'7"" (170cm)","66.5"" (169cm)",United States,1 Win,5,2008-02-16,"November 10, 2018","Murrieta, California",9,8,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Ashley Yoder,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Strawweight,Ashley Yoder,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987",2.67,35%,3.65,51%,1.25,50%,64%,0.8,6,4,UFC Fight Night: Moicano vs. The Korean Zombie Ashley Yoder
0.49984030419120473,11_left,13_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,"近藤朱里, Kondo Syuri",30,Strawweight,115.5 lbs,"5'4"" (163cm)","66.5"" (169cm)","Ebina, Kanagawa, Japan",2 Losses,4,2009-12-11,"November 24, 2018","Yokohama, Japan",6,2,0,0,"UFC on ESPN+ 12: Moicano vs. Korean Zombie 近藤朱里, Kondo Syuri",UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Strawweight,Syuri Kondo,"5' 4""",115 lbs.,"66""",Orthodox,"Feb 08, 1989",7.3,43%,8.31,62%,0.0,0%,100%,0.0,6,2,UFC Fight Night: Moicano vs. The Korean Zombie Syuri Kondo
0.3161501792441905,12_left,10_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Daniel Ige,27,Featherweight,146.0 lbs,"5'7"" (170cm)","71.0"" (180cm)",United States,3 Wins,5,2011-09-23,"March 16, 2019","Honolulu, Hawaii",18,4,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Daniel Ige,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Dan Ige,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",3.96,46%,3.36,59%,3.3,35%,60%,1.3,11,2,UFC Fight Night: Moicano vs. The Korean Zombie Dan Ige
