Event,Name,Age,Weight Class,Last Weight-In,Height,Reach,Born,Current Streak,UFC Competition,First Fight,Last Fight,Fight out of,Wins,Loss,Draws,No Contest
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Renato Carneiro,30,Featherweight,145.5 lbs,"5'11"" (181cm)","72.0"" (183cm)",Brazil,1 Loss,8,2010-03-20,"February 02, 2019","Brasilia, Federal District, Brazil",13,2,1,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,"정찬성, Jung Chan Sung",32,Featherweight,146.0 lbs,"5'7"" (171cm)","72.0"" (183cm)","Seoul, South Korea",1 Loss,7,2007-06-24,"November 10, 2018","Pohang, South Korea",14,5,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,John Lineker,29,Bantamweight,135.0 lbs,"5'3"" (160cm)","67.0"" (170cm)","Paranagua, Parana, Brazil",1 Loss,17,2008-09-05,"April 27, 2019","Paranagua, Parana, Brazil",31,9,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Robert Font,31,Bantamweight,136.0 lbs,"5'8"" (173cm)","71.5"" (182cm)","Tampa, Florida",1 Win,10,2011-01-28,"December 15, 2018","Boston, Massachusetts",19,5,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Bryan Barberena,30,Welterweight,170.5 lbs,"6'0"" (183cm)","72.0"" (183cm)","Montclair, California",1 Loss,10,2009-08-06,"February 17, 2019","Glendale, Arizona",15,6,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Randall Brown,28,Welterweight,171.0 lbs,"6'3"" (191cm)","78.0"" (198cm)","Spanish Town, Jamaica",1 Loss,8,2011-06-02,"July 14, 2018","Queens, New York",16,5,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Andrea Lee,30,Flyweight,125.5 lbs,"5'6"" (168cm)","69.5"" (177cm)","Atlanta, Texas, United States",6 Wins,3,2011-12-10,"February 17, 2019","Shreveport, Louisiana",17,5,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Montana De La Rosa,24,Flyweight,125.0 lbs,"5'7"" (170cm)","68.0"" (173cm)",Texas,3 Wins,4,2014-02-21,"February 09, 2019","Arlington, Texas",10,4,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Alessio Di Chirico,29,Middleweight,186.0 lbs,"6'0"" (182cm)","74.0"" (188cm)","Rome, Italy",2 Wins,6,2011-12-09,"July 06, 2018","Rome, Italy",15,2,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Kevin Holland,26,Middleweight,185.0 lbs,"6'3"" (191cm)","81.0"" (206cm)",United States,2 Wins,4,2012-08-04,"March 30, 2019","Fort Worth, Texas",20,4,0,0
