Event,Event Date,Event Location,Weight Class,Name,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg,TD Acc,TD Def,Sub. Avg.,Win s,Los s
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Renato Moicano,"5' 11""",145 lbs.,"72""",Orthodox,"May 21, 1989",5.60,46%,3.53,67%,1.18,54%,76%,0.4,13,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",4.12,39%,3.81,60%,0.81,41%,75%,0.7,14,5
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,John Lineker,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",5.36,40%,4.27,56%,0.56,58%,67%,0.6,31,9
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",4.94,40%,3.88,63%,1.29,33%,30%,0.9,16,4
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Welterweight,Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",5.90,48%,4.76,44%,0.29,33%,47%,0.3,14,6
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Welterweight,Randy Brown,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",2.89,44%,2.37,55%,0.99,41%,77%,0.6,10,3
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",5.57,55%,3.00,69%,1.50,42%,72%,1.0,10,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Montana De La Rosa,"5' 7""",125 lbs.,"68""",,"Feb 14, 1995",3.46,41%,2.29,54%,1.25,22%,0%,3.1,10,4
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Kevin Holland,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992",4.47,55%,2.57,59%,1.52,50%,50%,1.3,15,4
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.36,41%,2.94,63%,2.48,56%,77%,0.0,12,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Dan Ige,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",3.96,46%,3.36,59%,3.30,35%,60%,1.3,11,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Kevin Aguilar,"5' 7""",145 lbs.,"72""",Orthodox,"Sep 07, 1988",4.31,37%,4.04,57%,0.00,0%,89%,0.0,17,1
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Strawweight,Ashley Yoder,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987",2.67,35%,3.65,51%,1.25,50%,64%,0.8,6,4
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Strawweight,Syuri Kondo,"5' 4""",115 lbs.,"66""",Orthodox,"Feb 08, 1989",7.30,43%,8.31,62%,0.00,0%,100%,0.0,6,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Lightweight,Matt Wiman,"5' 10""",155 lbs.,"68""",Orthodox,"Sep 19, 1983",3.51,50%,3.24,54%,2.41,38%,63%,1.8,16,7
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Lightweight,Luis Pena,"6' 3""",155 lbs.,"76""",Southpaw,"Jul 05, 1993",2.48,37%,2.74,52%,1.34,23%,46%,0.5,6,1
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Heavyweight,Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",2.97,51%,2.81,58%,1.86,33%,100%,1.2,10,3
